IDMAEEDO;TIDO;NUDO;ENDO;SUENDO;SUDO;FEEMDO;FEER;MODO;TIMODO;TIDEVE;TIDEVEFE;TIDEVEHO;PPPRNE;TAMOPPPR;VANELI;FEEMLI;KOFULIDO;LILG;PRCT;NULIDO;FEERLI;SULIDO;BOSULIDO;LUVTLIDO;KOPRCT;UD01PR;NOKOZO;IDMAEDDO;NUSEPR;CAPRCO1;CAPRAD1;CAPREX1;UD02PR;CAPRCO2;CAPRAD2;CAPREX2;OCDO;OBDO;NOKOEN;ZOEN;DIEN;COMUNA;TIPR;NOKOPR;PFPR;FMPR;RUPR;MRPR;STFI1;STFI2;PRRG;KOPRTE;ENDOFI;UBICACION;OBSERVA;
      516827.00000;"NVV";"0000425900";"10904943-3";"";"004";"24/09/2025";"06/10/2025";"$";"N";"";"06/10/2025";"";        4370.00000;           1.00000;      104880.00000;"24/09/2025";"PSV";"SI";0;"00001";"06/10/2025";"004";"006";"37";"PCA106NEGRO02";"GL";"";     1656691.00000;"";           6.00000;           0.00000;           0.00000;"04";          24.00000;           0.00000;           0.00000;"*9856230.962.0";"AVENIDA LLAIMA 645 - CUNCO";"ROBERTO  GARRIDO   ZARATE";"";"AVENIDA  LLAIMA 645";"CUNCO";"FPN";"ANTICORROISIVO ESTRUCTURAL NEGRO 1/4";"0002";"003";"01";"";          47.25000;         159.00000;1;"PCA106NEGRO02";"";"";"";
      516827.00000;"NVV";"0000425900";"10904943-3";"";"004";"24/09/2025";"06/10/2025";"$";"N";"";"06/10/2025";"";        3900.00000;           1.00000;       93600.00000;"24/09/2025";"PSV";"SI";0;"00002";"06/10/2025";"004";"006";"37";"PCA960COPPBL2";"GL";"";     1656692.00000;"";           6.00000;           0.00000;           0.00000;"04";          24.00000;           0.00000;           0.00000;"*9856230.962.0";"AVENIDA LLAIMA 645 - CUNCO";"ROBERTO  GARRIDO   ZARATE";"";"AVENIDA  LLAIMA 645";"CUNCO";"FPN";"ESMALTE AL AGUA COPPER 960 BLANCO 1/4.";"0001";"003";"";"";          17.75000;          71.00000;0;"PCA960COPPBL2";"";"";"";
      516827.00000;"NVV";"0000425900";"10904943-3";"";"004";"24/09/2025";"06/10/2025";"$";"N";"";"06/10/2025";"";       14250.00000;           1.00000;      228000.00000;"24/09/2025";"PSV";"SI";0;"00003";"06/10/2025";"004";"006";"37";"PCA106NEGR001";"GL";"";     1656693.00000;"";          16.00000;           0.00000;           0.00000;"GL";          16.00000;           0.00000;           0.00000;"*9856230.962.0";"AVENIDA LLAIMA 645 - CUNCO";"ROBERTO  GARRIDO   ZARATE";"";"AVENIDA  LLAIMA 645";"CUNCO";"FPN";"ANTICORROSIVO ESTRUCTURAL NEGRO GL.";"0002";"003";"01";"";         101.00000;         101.00000;1;"PCA106NEGR001";"";"";"";
      516827.00000;"NVV";"0000425900";"10904943-3";"";"004";"24/09/2025";"06/10/2025";"$";"N";"";"06/10/2025";"";       12990.00000;           1.00000;      311760.00000;"24/09/2025";"PSV";"SI";0;"00004";"06/10/2025";"004";"006";"37";"PCA960COPPBL1";"GL";"";     1656694.00000;"";          24.00000;           0.00000;           0.00000;"GL";          24.00000;           0.00000;           0.00000;"*9856230.962.0";"AVENIDA LLAIMA 645 - CUNCO";"ROBERTO  GARRIDO   ZARATE";"";"AVENIDA  LLAIMA 645";"CUNCO";"FPN";"ESMALTE AGUA COPPER C/COBRE 960 BLANCO GL.";"0001";"003";"";"";         305.00000;         305.00000;1;"PCA960COPPBL1";"";"";"";
      515655.00000;"NVV";"0000425801";"12985505-3";"";"004";"11/09/2025";"25/09/2025";"$";"N";"";"25/09/2025";"";        4370.00000;           1.00000;       52440.00000;"11/09/2025";"PSV";"SI";0;"00001";"25/09/2025";"004";"006";"37";"PCA106ROJO002";"GL";"";     1652668.00000;"";           3.00000;           0.00000;           0.00000;"04";          12.00000;           0.00000;           0.00000;"";"CHORRILLOS 1365 - VICTORIA";"RODRIGO HENRIQUEZ NORAMBUENA";"";"CHRORRILLOS N°1394";"VICTORIA";"FPN";"ANTICORROSIVO ESTRUCTURAL ROJO 1/4";"0002";"003";"01";"";          14.00000;          56.00000;0;"PCA106ROJO002";"";"";"";
      515655.00000;"NVV";"0000425801";"12985505-3";"";"004";"11/09/2025";"25/09/2025";"$";"N";"";"25/09/2025";"";        4370.00000;           1.00000;       52440.00000;"11/09/2025";"PSV";"SI";0;"00002";"25/09/2025";"004";"006";"37";"PCA106VERDE02";"GL";"";     1652669.00000;"";           3.00000;           0.00000;           0.00000;"04";          12.00000;           0.00000;           0.00000;"";"CHORRILLOS 1365 - VICTORIA";"RODRIGO HENRIQUEZ NORAMBUENA";"";"CHRORRILLOS N°1394";"VICTORIA";"FPN";"ANTICORROSIVO ESTRUCTURAL VERDE OXIDO 1/4";"0002";"003";"01";"";           6.50000;          26.00000;0;"PCA106VERDE02";"";"";"";
      516542.00000;"NVV";"0000425881";"12985505-3";"";"004";"22/09/2025";"02/10/2025";"$";"N";"";"02/10/2025";"";       14490.00000;           1.00000;      115920.00000;"22/09/2025";"PSV";"SI";0;"00001";"02/10/2025";"004";"006";"37";"PCA907NEGRO01";"GL";"";     1655757.00000;"";           8.00000;           0.00000;           0.00000;"GL";           8.00000;           0.00000;           0.00000;"";"CHORRILLOS 1365 - VICTORIA";"RODRIGO HENRIQUEZ NORAMBUENA";"";"CHRORRILLOS N°1394";"VICTORIA";"FPN";"ZINC ACRYL NEGRO GL.";"0001";"003";"01";"";         112.00000;         112.00000;1;"PCA907NEGRO01";"";"";"";
      516919.00000;"NVV";"0000425912";"12985505-3";"";"004";"24/09/2025";"06/10/2025";"$";"N";"";"06/10/2025";"";       14640.00000;           1.00000;       58560.00000;"24/09/2025";"PSV";"SI";0;"00001";"06/10/2025";"004";"006";"37";"PCA960ECOPLS1";"GL";"";     1656949.00000;"";           4.00000;           0.00000;           0.00000;"GL";           4.00000;           0.00000;           0.00000;"";"CHORRILLOS 1365 - VICTORIA";"RODRIGO HENRIQUEZ NORAMBUENA";"";"CHRORRILLOS N°1394";"VICTORIA";"FPN";"ESMALTE AL AGUA COPPER C/COBRE 960 LINO SUAVE GL.";"0001";"003";"";"";          51.00000;          51.00000;0;"PCA960ECOPLS1";"";"";"";
      516919.00000;"NVV";"0000425912";"12985505-3";"";"004";"24/09/2025";"06/10/2025";"$";"N";"";"06/10/2025";"";       14640.00000;           1.00000;       58560.00000;"24/09/2025";"PSV";"SI";0;"00002";"06/10/2025";"004";"006";"37";"PCA960ECOPBN1";"GL";"";     1656950.00000;"";           4.00000;           0.00000;           0.00000;"GL";           4.00000;           0.00000;           0.00000;"";"CHORRILLOS 1365 - VICTORIA";"RODRIGO HENRIQUEZ NORAMBUENA";"";"CHRORRILLOS N°1394";"VICTORIA";"FPN";"ESMALTE AL AGUA COPPER C/COBRE 960BLANCO NACAR GL";"0001";"003";"";"";          72.00000;          72.00000;0;"PCA960ECOPBN1";"";"";"";
      515939.00000;"NVV";"0000425836";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       62990.00000;           1.00000;      370381.00000;"15/09/2025";"PBV";"SI";0;"00002";"29/09/2025";"004";"006";"37";"PCA106BANAT06";"GL";"";     1653544.00000;"";          24.00000;           0.00000;           0.00000;"BD";           6.00000;           0.00000;           0.00000;"1204603";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"BARNIZ MARINO NATURAL 4 GALONES";"0002";"003";"";"";          88.00000;          22.00000;0;"PCA106BANAT06";"";"";"";
      515939.00000;"NVV";"0000425836";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       42990.00000;           1.00000;     3033374.00000;"15/09/2025";"PBV";"SI";0;"00015";"29/09/2025";"004";"006";"37";"PCA907BASE056";"GL";"";     1653556.00000;"";         288.00000;           0.00000;         100.00000;"BD";          72.00000;           0.00000;          25.00000;"1204603";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"ZINC ACRYL BASE INCOLORA 4 GALONES";"0001";"003";"01";"";         288.00000;          72.00000;1;"PCA907BASE056";"";"";"";
      515941.00000;"NVV";"0000425837";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       29990.00000;           1.00000;     2159280.00000;"15/09/2025";"PBV";"SI";0;"00001";"29/09/2025";"004";"006";"37";"PCASMARTBO06";"GL";"";     1653559.00000;"";         288.00000;           0.00000;         100.00000;"BD";          72.00000;           0.00000;          25.00000;"1204594";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"ESMALTE AGUA SMART COPPER BASE OSCURA 4 GALONES";"0001";"003";"01";"";         536.00000;         134.00000;1;"PCASMARTBO06";"";"";"";
      515941.00000;"NVV";"0000425837";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       39990.00000;           1.00000;     4158960.00000;"15/09/2025";"PBV";"SI";0;"00002";"29/09/2025";"004";"006";"37";"PCA960ECOPBL6";"GL";"";     1653560.00000;"";         416.00000;           0.00000;           0.00000;"BD";         104.00000;           0.00000;           0.00000;"1204594";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"ESMALTE AL AGUA COPPER 960 BLANCO 4 GALONES.";"0001";"003";"";"";        1064.00000;         266.00000;1;"PCA960ECOPBL6";"";"";"";
