IDMAEEDO;TIDO;NUDO;ENDO;SUENDO;SUDO;FEEMDO;FEER;MODO;TIMODO;TIDEVE;TIDEVEFE;TIDEVEHO;PPPRNE;TAMOPPPR;VANELI;FEEMLI;KOFULIDO;LILG;PRCT;NULIDO;FEERLI;SULIDO;BOSULIDO;LUVTLIDO;KOPRCT;UD01PR;NOKOZO;IDMAEDDO;NUSEPR;CAPRCO1;CAPRAD1;CAPREX1;UD02PR;CAPRCO2;CAPRAD2;CAPREX2;OCDO;OBDO;NOKOEN;ZOEN;DIEN;COMUNA;TIPR;NOKOPR;PFPR;FMPR;RUPR;MRPR;STFI1;STFI2;PRRG;KOPRTE;ENDOFI;UBICACION;OBSERVA;
      515655.00000;"NVV";"0000425801";"12985505-3";"";"004";"11/09/2025";"25/09/2025";"$";"N";"";"25/09/2025";"";        4370.00000;           1.00000;       52440.00000;"11/09/2025";"PSV";"SI";0;"00001";"25/09/2025";"004";"006";"37";"PCA106ROJO002";"GL";"";     1652668.00000;"";           3.00000;           0.00000;           0.00000;"04";          12.00000;           0.00000;           0.00000;"";"CHORRILLOS 1365 - VICTORIA";"RODRIGO HENRIQUEZ NORAMBUENA";"";"CHRORRILLOS N°1394";"VICTORIA";"FPN";"ANTICORROSIVO ESTRUCTURAL ROJO 1/4";"0002";"003";"01";"";          12.75000;          51.00000;0;"PCA106ROJO002";"";"";"";
      515655.00000;"NVV";"0000425801";"12985505-3";"";"004";"11/09/2025";"25/09/2025";"$";"N";"";"25/09/2025";"";        4370.00000;           1.00000;       52440.00000;"11/09/2025";"PSV";"SI";0;"00002";"25/09/2025";"004";"006";"37";"PCA106VERDE02";"GL";"";     1652669.00000;"";           3.00000;           0.00000;           0.00000;"04";          12.00000;           0.00000;           0.00000;"";"CHORRILLOS 1365 - VICTORIA";"RODRIGO HENRIQUEZ NORAMBUENA";"";"CHRORRILLOS N°1394";"VICTORIA";"FPN";"ANTICORROSIVO ESTRUCTURAL VERDE OXIDO 1/4";"0002";"003";"01";"";           5.00000;          20.00000;0;"PCA106VERDE02";"";"";"";
      516330.00000;"NVV";"0000425866";"13133";"";"004";"17/09/2025";"01/10/2025";"$";"N";"";"01/10/2025";"";       63990.00000;           1.00000;      319950.00000;"17/09/2025";"BLP";"SI";0;"00001";"01/10/2025";"004";"006";"36";"PCA910BLAN056";"GL";"";     1655095.00000;"";          20.00000;           0.00000;           0.00000;"BD";           5.00000;           0.00000;           0.00000;"1204952";"VASCO NUNEZ DE BALBOA N9067, HUALPEN";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO.957";"TEMUCO";"FPN";"OLEO OPACO BLANCO 4 GALONES";"0002";"003";"01";"";          84.00000;          21.00000;0;"PCA910BLAN056";"";"";"";
      516330.00000;"NVV";"0000425866";"13133";"";"004";"17/09/2025";"01/10/2025";"$";"N";"";"01/10/2025";"";       13620.00000;           1.00000;      136200.00000;"17/09/2025";"BLP";"SI";0;"00002";"01/10/2025";"004";"006";"36";"RCM0020103";"04";"";     1655096.00000;"";          10.00000;           0.00000;           0.00000;"04";          10.00000;           0.00000;           0.00000;"1204952";"VASCO NUNEZ DE BALBOA N9067, HUALPEN";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO.957";"TEMUCO";"FPN";"C - AMARILLO OXIDO";"";"005";"";"";          14.00000;          14.00000;0;"RCM0020103";"";"";"";
      516330.00000;"NVV";"0000425866";"13133";"";"004";"17/09/2025";"01/10/2025";"$";"N";"";"01/10/2025";"";       55000.00000;           1.00000;      220000.00000;"17/09/2025";"BLP";"SI";0;"00003";"01/10/2025";"004";"006";"36";"PCA106NEGRO06";"GL";"";     1655097.00000;"";          16.00000;           0.00000;           0.00000;"BD";           4.00000;           0.00000;           0.00000;"1204952";"VASCO NUNEZ DE BALBOA N9067, HUALPEN";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO.957";"TEMUCO";"FPN";"ANTICORROSIVO ESTRUCTURAL NEGRO 4 GALONES.";"0002";"003";"01";"";          72.00000;          18.00000;0;"PCA106NEGRO06";"";"";"";
      516330.00000;"NVV";"0000425866";"13133";"";"004";"17/09/2025";"01/10/2025";"$";"N";"";"01/10/2025";"";       28990.00000;           1.00000;      695760.00000;"17/09/2025";"BLP";"SI";0;"00004";"01/10/2025";"004";"006";"36";"PCA912G10BLA6";"GL";"";     1655098.00000;"";          96.00000;           0.00000;           0.00000;"BD";          24.00000;           0.00000;           0.00000;"1204952";"VASCO NUNEZ DE BALBOA N9067, HUALPEN";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO.957";"TEMUCO";"FPN";"PROFINISH G-10 BLANCO 4 GALONES";"0004";"003";"01";"";         332.00000;          83.00000;1;"PCA912G10BLA6";"";"";"";
      515937.00000;"NVV";"0000425835";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       14990.00000;           1.00000;     1708860.00000;"15/09/2025";"PBV";"SI";0;"00001";"29/09/2025";"004";"006";"37";"PCA113POLNAT1";"GL";"";     1653540.00000;"";         114.00000;           0.00000;           0.00000;"GL";         114.00000;           0.00000;           0.00000;"1204595";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"STAIN POLIDECOR NATURAL GL";"0002";"003";"01";"";         278.00000;         278.00000;1;"PCA113POLNAT1";"";"";"";
      515937.00000;"NVV";"0000425835";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       13990.00000;           1.00000;      839400.00000;"15/09/2025";"PBV";"SI";0;"00002";"29/09/2025";"004";"006";"37";"PCA106BANAT01";"GL";"";     1653541.00000;"";          60.00000;           0.00000;           0.00000;"GL";          60.00000;           0.00000;           0.00000;"1204595";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"BARNIZ MARINO NATURAL GL.";"";"003";"01";"";         183.00000;         183.00000;1;"PCA106BANAT01";"";"";"";
      515937.00000;"NVV";"0000425835";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       21490.00000;           1.00000;     1160460.00000;"15/09/2025";"PBV";"SI";0;"00003";"29/09/2025";"004";"006";"37";"PCA103MADPLU1";"GL";"";     1653542.00000;"";          54.00000;           0.00000;           0.00000;"GL";          54.00000;           0.00000;           0.00000;"1204595";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"VITRIFICANTE DE MADERA VITROPLUS GL";"0002";"003";"01";"";         179.00000;         179.00000;0;"PCA103MADPLU1";"";"";"";
      515939.00000;"NVV";"0000425836";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       62990.00000;           1.00000;      370381.00000;"15/09/2025";"PBV";"SI";0;"00002";"29/09/2025";"004";"006";"37";"PCA106BANAT06";"GL";"";     1653544.00000;"";          24.00000;           0.00000;           0.00000;"BD";           6.00000;           0.00000;           0.00000;"1204603";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"BARNIZ MARINO NATURAL 4 GALONES";"0002";"003";"";"";          28.00000;           7.00000;0;"PCA106BANAT06";"";"";"";
