IDMAEEDO;TIDO;NUDO;ENDO;SUENDO;SUDO;FEEMDO;FEULVEDO;KOFUDO;MODO;TIMODO;TAMODO;CAPRAD;CAPREX;VANEDO;VAIVDO;VABRDO;LILG;NULIDO;SULIDO;LUVTLIDO;BOSULIDO;KOFULIDO;PRCT;TICT;TIPR;NUSEPR;KOPRCT;UDTRPR;RLUDPR;CAPRCO1;CAPRAD1;CAPREX1;CAPRNC1;UD01PR;CAPRCO2;CAPRAD2;CAPREX2;CAPRNC2;UD02PR;PPPRNE;PPPRBR;VANELI;VABRLI;FEEMLI;FEERLI;PPPRPM;PPPRPMIFRS;LOGISTICA;ESLIDO;PPPRNERE1;PPPRNERE2;IDMAEDDO;FMPR;MRPR;ZONA;RUEN;RECAPRRE;PFPR;HFPR;MONTO;OCDO;NOKOPRCT;NOKOZO;NOSUDO;NOKOFU;NOKOFUDO;NOBOSULI;NOKOEN;NORUEN;NOMRPR;NOFMPR;NOPFPR;NOHFPR;DEVOL1;DEVOL2;STOCKFIS;LISTACOST;LISCOSMOD;
      518291.00000;"FCV";"0000198236";"76565296-0";"";"004";"01/10/2025";"30/11/2025";"YCF";"$";"N";         962.39000;           2.00000;           0.00000;      101400.00000;       19266.00000;      120666.00000;"SI";"00001";"004";"37";"006";"DCG";0;"";"FPN";"";"PCA106NEGRO06";           2.00000;           4.00000;           8.00000;           8.00000;           0.00000;           0.00000;"GL";           2.00000;           2.00000;           0.00000;           0.00000;"BD";       50700.00000;       60333.00000;      101400.00000;      120666.00000;"01/10/2025";"01/10/2025";        6960.07023;        6892.40465;           0.00000;"C";       12675.00000;       50700.00000;     1661736.00000;"003";"";"";"08";0;"0002";"0003";      101400.00000;"D809";"ANTICORROSIVO ESTRUCTURAL NEGRO 4 GALONES.";"";"PLANTA LAUTARO";"CLIENTE FABRICA";"YAZNA CAROLINA FERNANDEZ BRION";"PRODUCTOS TERMINADOS";"PINTURERIA DEL SUR LIMITADA";"PANORAMICA STORE";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE SOLVENTE";"OLEO OPACO";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518294.00000;"FCV";"0000198237";"16314793-9";"";"004";"01/10/2025";"01/10/2025";"YCF";"$";"N";         962.39000;           8.00000;           0.00000;      178480.00000;       33911.00000;      212391.00000;"SI";"00001";"004";"37";"006";"JNC";0;"";"FPN";"";"PCA103MADPLU1";           1.00000;           1.00000;           8.00000;           8.00000;           0.00000;           0.00000;"GL";           8.00000;           8.00000;           0.00000;           0.00000;"GL";       22310.00000;       26548.90000;      178480.00000;      212391.00000;"01/10/2025";"01/10/2025";       12241.53280;       12241.53281;           0.00000;"C";       22310.00000;       22310.00000;     1661740.00000;"003";"";"";"03";0;"0002";"0005";      178480.00000;"";"VITRIFICANTE DE MADERA VITROPLUS GL";"";"PLANTA LAUTARO";"JORGE ANDRES NAHUELFIL CUADRA";"YAZNA CAROLINA FERNANDEZ BRION";"PRODUCTOS TERMINADOS";"EMANUEL SALGADO";"DIGITAL";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE SOLVENTE";"BARNICES";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518390.00000;"FCV";"0000198238";"76515757-9";"";"004";"01/10/2025";"01/10/2025";"FPJ";"$";"N";         962.39000;           0.00000;           1.00000;       25622.00000;        4868.00000;       30490.00000;"SI";"00001";"006";"10";"007";"JNC";0;"";"FPN";"";"PCA108GRIS001";           1.00000;           1.00000;           1.00000;           0.00000;           1.00000;           0.00000;"GL";           1.00000;           0.00000;           1.00000;           0.00000;"GL";       25621.85000;       30490.00200;       25622.00000;       30490.00000;"01/10/2025";"01/10/2025";        9095.58158;        9095.58379;           0.00000;"C";       25622.00000;       25622.00000;     1662035.00000;"003";"";"";"03";0;"0002";"";       25622.00000;"";"ESMALTE ANTICORROSIVO GRIS GL";"";"PLANTA LAUTARO";"JORGE ANDRES NAHUELFIL CUADRA";"FRANCO ANDRES PARRA JIRKAL";"SANTIAGO";"A&C EQUIPAMIENTO GASTRONOMICO";"DIGITAL";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE SOLVENTE";"";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518391.00000;"FCV";"0000198239";"15970281-2";"";"004";"01/10/2025";"01/10/2025";"FPJ";"$";"N";         962.39000;           0.00000;           1.00000;       26508.00000;        5037.00000;       31545.00000;"SI";"00001";"006";"10";"007";"JNC";0;"";"FPN";"";"PCA113POLENC1";           1.00000;           1.00000;           1.00000;           0.00000;           1.00000;           0.00000;"GL";           1.00000;           0.00000;           1.00000;           0.00000;"GL";       26508.40000;       31544.99600;       26508.00000;       31545.00000;"01/10/2025";"01/10/2025";        7780.64360;        7780.64361;           0.00000;"C";       26508.00000;       26508.00000;     1662036.00000;"003";"";"";"03";0;"0002";"0005";       26508.00000;"";"STAIN POLIDECOR ENCINA GL";"";"PLANTA LAUTARO";"JORGE ANDRES NAHUELFIL CUADRA";"FRANCO ANDRES PARRA JIRKAL";"SANTIAGO";"PATRICIO SALAMANCA";"DIGITAL";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE SOLVENTE";"BARNICES";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518393.00000;"FCV";"0000198240";"17426305-1";"";"004";"01/10/2025";"01/10/2025";"FPJ";"$";"N";         962.39000;           0.00000;           2.00000;       26295.00000;        4996.00000;       31291.00000;"SI";"00001";"006";"10";"007";"JNC";0;"";"FPN";"";"PCA960ECOPSM1";           1.00000;           1.00000;           1.00000;           0.00000;           1.00000;           0.00000;"GL";           1.00000;           0.00000;           1.00000;           0.00000;"GL";       20924.37000;       24900.00000;       20924.00000;       24900.00000;"01/10/2025";"01/10/2025";        6735.93516;        6735.93516;           0.00000;"C";       20924.00000;       20924.00000;     1662038.00000;"003";"";"";"03";0;"0001";"0002";       20924.00000;"3266";"ESMALTE AL AGUA COPPER C/COBRE 960 SUR MAGICO GL";"";"PLANTA LAUTARO";"JORGE ANDRES NAHUELFIL CUADRA";"FRANCO ANDRES PARRA JIRKAL";"SANTIAGO";"ANNE MANZANI";"DIGITAL";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE AGUA";"ESMALTE AL AGUA";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518393.00000;"FCV";"0000198240";"17426305-1";"";"004";"01/10/2025";"01/10/2025";"FPJ";"$";"N";         962.39000;           0.00000;           2.00000;       26295.00000;        4996.00000;       31291.00000;"SI";"00002";"006";"33";"007";"JNC";0;"";"SSN";"";"ZZFLETE";           1.00000;           1.00000;           1.00000;           0.00000;           1.00000;           0.00000;"UN";           1.00000;           0.00000;           1.00000;           0.00000;"UN";        5370.59000;        6391.00200;        5371.00000;        6391.00000;"01/10/2025";"01/10/2025";           0.00000;           0.00000;           0.00000;"C";        5371.00000;        5371.00000;     1662039.00000;"008";"";"";"03";0;"";"";        5371.00000;"3266";"FLETE";"";"PLANTA LAUTARO";"JORGE ANDRES NAHUELFIL CUADRA";"FRANCO ANDRES PARRA JIRKAL";"SANTIAGO";"ANNE MANZANI";"DIGITAL";"";"GASTOS Y SERVICIOS";"";"";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518395.00000;"FCV";"0000198241";"18676639-3";"";"004";"01/10/2025";"01/10/2025";"FPJ";"$";"N";         962.39000;           0.00000;           4.00000;       78151.00000;       14849.00000;       93000.00000;"SI";"00001";"006";"10";"007";"JNC";0;"";"FPN";"";"PCA907GRIS001";           1.00000;           1.00000;           4.00000;           0.00000;           4.00000;           0.00000;"GL";           4.00000;           0.00000;           4.00000;           0.00000;"GL";       19537.82000;       23250.00600;       78151.00000;       93000.00000;"01/10/2025";"01/10/2025";        6962.24242;        6885.04063;           0.00000;"C";       19537.75000;       19537.75000;     1662041.00000;"003";"";"";"03";0;"0001";"";       78151.00000;"";"ZINC ACRYL GRIS GL.";"";"PLANTA LAUTARO";"JORGE ANDRES NAHUELFIL CUADRA";"FRANCO ANDRES PARRA JIRKAL";"SANTIAGO";"SARA LOPEZ";"DIGITAL";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE AGUA";"";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518418.00000;"FCV";"0000198242";"77683156-5";"";"004";"01/10/2025";"01/10/2025";"FPJ";"$";"N";         962.39000;           6.00000;           0.00000;       30000.00000;        5700.00000;       35700.00000;"SI";"00001";"004";"36";"006";"HUD";0;"";"FPN";"";"PANES930BL056";           2.00000;           4.00000;           4.00000;           4.00000;           0.00000;           0.00000;"GL";           1.00000;           1.00000;           0.00000;           0.00000;"BD";       10000.00000;       11900.00000;       10000.00000;       11900.00000;"01/10/2025";"01/10/2025";        5702.95480;        5702.95480;           0.00000;"C";        2500.00000;       10000.00000;     1662114.00000;"003";"";"";"02";0;"0001";"0002";       10000.00000;"";"ESMALTE AGUA 930 BLANCO 4 GALONES";"";"PLANTA LAUTARO";"HECTOR URIZAR DONOSO";"FRANCO ANDRES PARRA JIRKAL";"PRODUCTOS TERMINADOS";"CONSTRUCTORA YENIFER PARRA FIGUEROA EIRL";"CONSTRUCCION";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE AGUA";"ESMALTE AL AGUA";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518418.00000;"FCV";"0000198242";"77683156-5";"";"004";"01/10/2025";"01/10/2025";"FPJ";"$";"N";         962.39000;           6.00000;           0.00000;       30000.00000;        5700.00000;       35700.00000;"SI";"00002";"004";"36";"006";"HUD";0;"";"FPN";"";"PCAEXTRACUB06";           2.00000;           4.00000;           4.00000;           4.00000;           0.00000;           0.00000;"GL";           1.00000;           1.00000;           0.00000;           0.00000;"BD";       10000.00000;       11900.00000;       10000.00000;       11900.00000;"01/10/2025";"01/10/2025";        4411.15284;        4411.16273;           0.00000;"C";        2500.00000;       10000.00000;     1662115.00000;"003";"";"";"02";0;"0001";"0001";       10000.00000;"";"LATEX SUPERCUBRIENTE BLANCO 4 GALONES";"";"PLANTA LAUTARO";"HECTOR URIZAR DONOSO";"FRANCO ANDRES PARRA JIRKAL";"PRODUCTOS TERMINADOS";"CONSTRUCTORA YENIFER PARRA FIGUEROA EIRL";"CONSTRUCCION";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE AGUA";"LATEX";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518418.00000;"FCV";"0000198242";"77683156-5";"";"004";"01/10/2025";"01/10/2025";"FPJ";"$";"N";         962.39000;           6.00000;           0.00000;       30000.00000;        5700.00000;       35700.00000;"SI";"00003";"004";"36";"006";"HUD";0;"";"FPN";"";"PCA920INCOBR1";           1.00000;           1.00000;           4.00000;           4.00000;           0.00000;           0.00000;"GL";           4.00000;           4.00000;           0.00000;           0.00000;"GL";        2500.00000;        2975.00000;       10000.00000;       11900.00000;"01/10/2025";"01/10/2025";        3755.75000;        3755.75000;           0.00000;"C";        2500.00000;        2500.00000;     1662116.00000;"003";"";"";"02";0;"0005";"0003";       10000.00000;"";"SELLADOR PAPEL CON NANO PARTICULAS DE COBRE GL.";"";"PLANTA LAUTARO";"HECTOR URIZAR DONOSO";"FRANCO ANDRES PARRA JIRKAL";"PRODUCTOS TERMINADOS";"CONSTRUCTORA YENIFER PARRA FIGUEROA EIRL";"CONSTRUCCION";"";"PINTURAS FABRICACION PROPIA";"IMPERMEABILIZANTES Y SELLADORE";"SELLADORES";           0.00000;           0.00000;           0.00000;"";           0.00000;
